,Category,0,1
71,FNR Macro, 0.15664,
72,FNR Micro, 0.12791,
73,FPR Macro, 0.15664,
74,FPR Micro, 0.12791,
75,Gwet AC1, 0.77702,
76,Hamming Loss, 0.12791,
77,Joint Entropy, 1.42254,
78,KL Divergence, 0.00184,
79,Kappa, 0.70021,
80,Kappa 95% CI, (0.58322,0.8172)
81,Kappa No Prevalence, 0.74419,
82,Kappa Standard Error, 0.05969,
83,Kappa Unbiased, 0.70002,
84,Krippendorff Alpha, 0.70089,
85,Lambda A, 0.6,
86,Lambda B, 0.56863,
87,Mutual Information, 0.35857,
88,NIR, 0.68023,
89,Overall ACC, 0.87209,
90,Overall CEN, 0.48962,
91,Overall J, (1.48702,0.74351)
92,Overall MCC, 0.70125,
93,Overall MCEN, 0.38727,
94,Overall RACC, 0.57335,
95,Overall RACCU, 0.57362,
96,P-Value, 0.0,
97,PPV Macro, 0.85805,
98,PPV Micro, 0.87209,
99,Pearson C, 0.57415,
100,Phi-Squared, 0.49175,
101,RCI, 0.39659,
102,Reference Entropy, 0.90413,
103,Response Entropy, 0.87698,
104,SOA1(Landis & Koch), Substantial,
105,SOA2(Fleiss), Intermediate to Good,
106,SOA3(Altman), Good,
107,SOA4(Cicchetti), Good,
108,SOA5(Cramer), Strong,
109,SOA6(Matthews), Strong,
110,SOA7(Lambda A), Strong,
111,SOA8(Lambda B), Moderate,
112,SOA9(Krippendorff Alpha), Tentative,
113,SOA10(Pearson C), Strong,
114,Scott PI, 0.70002,
115,Standard Error, 0.02547,
116,TNR Macro, 0.84336,
117,TNR Micro, 0.87209,
118,TPR Macro, 0.84336,
119,TPR Micro, 0.87209,
120,Zero-one Loss, 22,
121,Class Statistics :,,
122,Classes, 0, 1
123,ACC(Accuracy), 0.87209, 0.87209
124,AGF(Adjusted F-score), 0.83442, 0.86218
125,AGM(Adjusted geometric mean), 0.87338, 0.82118
126,AM(Difference between automatic and manual classification), -4, 4
127,AUC(Area under the ROC curve), 0.84336, 0.84336
128,AUCI(AUC value interpretation), Very Good, Very Good
129,AUPR(Area under the PR curve), 0.79358, 0.90782
130,BB(Braun-Blanquet similarity), 0.76364, 0.89256
131,BCD(Bray-Curtis dissimilarity), 0.01163, 0.01163
132,BM(Informedness or bookmaker informedness), 0.68671, 0.68671
133,CEN(Confusion entropy), 0.67339, 0.40778
134,DOR(Diagnostic odds ratio), 38.76923, 38.76923
135,DP(Discriminant power), 0.87578, 0.87578
136,DPI(Discriminant power interpretation), Poor, Poor
137,ERR(Error rate), 0.12791, 0.12791
138,F0.5(F0.5 score), 0.81081, 0.8985
139,F1(F1 score - harmonic mean of precision and sensitivity), 0.79245, 0.90756
140,F2(F2 score), 0.77491, 0.91681
141,FDR(False discovery rate), 0.17647, 0.10744
142,FN(False negative/miss/type 2 error), 13, 9
143,FNR(Miss rate or false negative rate), 0.23636, 0.07692
144,FOR(False omission rate), 0.10744, 0.17647
145,FP(False positive/type 1 error/false alarm), 9, 13
146,FPR(Fall-out or false positive rate), 0.07692, 0.23636
147,G(G-measure geometric mean of precision and sensitivity), 0.79302, 0.90769
148,GI(Gini index), 0.68671, 0.68671
149,GM(G-mean geometric mean of specificity and sensitivity), 0.83958, 0.83958
150,HD(Hamming distance), 22, 22
151,IBA(Index of balanced accuracy), 0.59251, 0.81728
152,ICSI(Individual classification success index), 0.58717, 0.81564
153,IS(Information score), 1.3648, 0.39192
154,J(Jaccard index), 0.65625, 0.83077
155,LS(Lift score), 2.5754, 1.31214
156,MCC(Matthews correlation coefficient), 0.70125, 0.70125
157,MCCI(Matthews correlation coefficient interpretation), Strong, Strong
158,MCEN(Modified confusion entropy), 0.86508," 0.5989, RR, 86.0"
159,Reference Entropy, 0.90413,
160,Response Entropy, 0.87698,
161,SOA1(Landis & Koch), Substantial,
162,SOA2(Fleiss), Intermediate to Good,
163,SOA3(Altman), Good,
164,SOA4(Cicchetti), Good,
165,SOA5(Cramer), Strong,
166,SOA6(Matthews), Strong,
167,SOA7(Lambda A), Strong,
168,SOA8(Lambda B), Moderate,
169,SOA9(Krippendorff Alpha), Tentative,
170,SOA10(Pearson C), Strong,
171,Scott PI, 0.70002,
172,Standard Error, 0.02547,
173,TNR Macro, 0.84336,
174,TNR Micro, 0.87209,
175,TPR Macro, 0.84336,
176,TPR Micro, 0.87209,
177,Zero-one Loss, 22,
178,Class Statistics :,,
179,Classes, 0, 1
180,ACC(Accuracy), 0.87209, 0.87209
181,AGF(Adjusted F-score), 0.83442, 0.86218
182,AGM(Adjusted geometric mean), 0.87338, 0.82118
183,AM(Difference between automatic and manual classification), -4, 4
184,AUC(Area under the ROC curve), 0.84336, 0.84336
185,AUCI(AUC value interpretation), Very Good, Very Good
186,AUPR(Area under the PR curve), 0.79358, 0.90782
187,BB(Braun-Blanquet similarity), 0.76364, 0.89256
188,BCD(Bray-Curtis dissimilarity), 0.01163, 0.01163
189,BM(Informedness or bookmaker informedness), 0.68671, 0.68671
190,CEN(Confusion entropy), 0.67339, 0.40778
191,DOR(Diagnostic odds ratio), 38.76923, 38.76923
192,DP(Discriminant power), 0.87578, 0.87578
193,DPI(Discriminant power interpretation), Poor, Poor
194,ERR(Error rate), 0.12791, 0.12791
195,F0.5(F0.5 score), 0.81081, 0.8985
196,F1(F1 score - harmonic mean of precision and sensitivity), 0.79245, 0.90756
197,F2(F2 score), 0.77491, 0.91681
198,FDR(False discovery rate), 0.17647, 0.10744
199,FN(False negative/miss/type 2 error), 13, 9
200,FNR(Miss rate or false negative rate), 0.23636, 0.07692
201,FOR(False omission rate), 0.10744, 0.17647
202,FP(False positive/type 1 error/false alarm), 9, 13
203,FPR(Fall-out or false positive rate), 0.07692, 0.23636
204,G(G-measure geometric mean of precision and sensitivity), 0.79302, 0.90769
205,GI(Gini index), 0.68671, 0.68671
206,GM(G-mean geometric mean of specificity and sensitivity), 0.83958, 0.83958
207,HD(Hamming distance), 22, 22
208,IBA(Index of balanced accuracy), 0.59251, 0.81728
209,ICSI(Individual classification success index), 0.58717, 0.81564
210,IS(Information score), 1.3648, 0.39192
211,J(Jaccard index), 0.65625, 0.83077
212,LS(Lift score), 2.5754, 1.31214
213,MCC(Matthews correlation coefficient), 0.70125, 0.70125
214,MCCI(Matthews correlation coefficient interpretation), Strong, Strong
215,MCEN(Modified confusion entropy), 0.86508, 0.5989
216,N(Condition negative), 117, 55
217,NLR(Negative likelihood ratio), 0.25606, 0.10073
218,NLRI(Negative likelihood ratio interpretation), Poor, Fair
219,NPV(Negative predictive value), 0.89256, 0.82353
220,OC(Overlap coefficient), 0.82353, 0.92308
221,OOC(Otsuka-Ochiai coefficient), 0.79302, 0.90769
222,OP(Optimized precision), 0.77757, 0.77757
223,P(Condition positive or support), 55, 117
224,PLR(Positive likelihood ratio), 9.92727, 3.90533
225,PLRI(Positive likelihood ratio interpretation), Fair, Poor
226,POP(Population), 172, 172
227,PPV(Precision or positive predictive value), 0.82353, 0.89256
228,PRE(Prevalence), 0.31977, 0.68023
229,Q(Yule Q - coefficient of colligation), 0.94971, 0.94971
230,QI(Yule Q interpretation), Strong, Strong
231,RACC(Random accuracy), 0.09481, 0.47854
232,RACCU(Random accuracy unbiased), 0.09495, 0.47867
233,TN(True negative/correct rejection), 108, 42
234,TNR(Specificity or true negative rate), 0.92308, 0.76364
235,TON(Test outcome negative), 121, 51
236,TOP(Test outcome positive), 51, 121
237,TP(True positive/hit), 42, 108
238,TPR(Sensitivity, recall," hit rate, or true positive rate), 0.76364, 0.92308"
239,Y(Youden index), 0.68671, 0.68671
240,dInd(Distance index), 0.24857, 0.24857
241,sInd(Similarity index), 0.82424, 0.82424
